rowIndex,barcode,excelOrder,coneId,issueStatus,latestIssueOrder,latestIssueArticleId,issueTxnId,action,reason,needsConeClose,needsReturnTxn,returnTxnId
63,699da6e1c926fc0fe856e481,ORD-000088,699da6e1c926fc0fe856e4a9,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
64,699da6e1c926fc0fe856e484,ORD-000069,699da6e1c926fc0fe856e4ac,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
65,699da6e1c926fc0fe856e486,ORD-000069,699da6e1c926fc0fe856e4ae,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
66,699da6e1c926fc0fe856e488,ORD-000088,699da6e1c926fc0fe856e4b0,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
67,699da6e1c926fc0fe856e48b,ORD-000069,699da6e1c926fc0fe856e4b3,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
68,699da6e1c926fc0fe856e48c,ORD-000069,699da6e1c926fc0fe856e4b4,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
69,699da6e1c926fc0fe856e493,ORD-000069,699da6e1c926fc0fe856e4bb,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
70,699da6e1c926fc0fe856e496,ORD-000069,699da6e1c926fc0fe856e4be,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
71,699da6e1c926fc0fe856e498,ORD-000069,699da6e1c926fc0fe856e4c0,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
72,699da6e1c926fc0fe856e4a0,ORD-000061,699da6e1c926fc0fe856e4c8,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
73,699da6e1c926fc0fe856e4a1,ORD-000088,699da6e1c926fc0fe856e4c9,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
74,699da6e1c926fc0fe856e4a3,ORD-000069,699da6e1c926fc0fe856e4cb,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
75,699da719c926fc0fe856e7ff,ORD-000088,699da719c926fc0fe856e842,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
76,699da719c926fc0fe856e80e,ORD-000088,699da719c926fc0fe856e851,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
77,699da719c926fc0fe856e810,ORD-000088,699da719c926fc0fe856e853,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
78,699da719c926fc0fe856e828,ORD-000088,699da719c926fc0fe856e86b,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
79,699da719c926fc0fe856e82e,ORD-000088,699da719c926fc0fe856e871,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
80,699e972bc926fc0fe857d02d,ORD-000084,699e972bc926fc0fe857d03a,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
81,699e9eb9c926fc0fe8582731,ORD-000061,699e9eb9c926fc0fe8582749,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
82,699ea084c926fc0fe8583c3c,ORD-000087,699ea084c926fc0fe8583c3e,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
83,699ea251c926fc0fe858569e,ORD-000087,699ea251c926fc0fe85856a7,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
84,699ea251c926fc0fe858569f,ORD-000087,699ea251c926fc0fe85856a8,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
85,699ea2e6c926fc0fe8585c05,ORD-000087,699ea2e6c926fc0fe8585c0d,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
86,699ea2e6c926fc0fe8585c06,ORD-000087,699ea2e6c926fc0fe8585c0e,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
87,699ea34fc926fc0fe8586001,ORD-000087,699ea34fc926fc0fe8586005,issued,ORD-000025,69d88ec5edc59d9ec104b7b9,69da2dcdedc59d9ec10b6689,would_close_cone_and_create_return_txn,Empty-return cone and create 0 kg yarn_returned for latest issue order+article,true,true,
88,699ea369c926fc0fe858626e,ORD-000087,699ea369c926fc0fe8586276,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
89,699ea369c926fc0fe858626f,ORD-000087,699ea369c926fc0fe8586277,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
90,699ea369c926fc0fe8586271,ORD-000087,699ea369c926fc0fe8586279,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
91,699ea369c926fc0fe8586272,ORD-000087,699ea369c926fc0fe858627a,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
92,699ea51ec926fc0fe85875ac,ORD-000084,699ea51ec926fc0fe85875b1,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
93,699ea51ec926fc0fe85875ad,ORD-000084,699ea51ec926fc0fe85875b2,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
94,699ea51ec926fc0fe85875ae,ORD-000084,699ea51ec926fc0fe85875b3,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
95,699ea51ec926fc0fe85875af,ORD-000084,699ea51ec926fc0fe85875b4,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
96,699ea5b2c926fc0fe8587a11,ORD-000084,699ea5b2c926fc0fe8587a13,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
97,699ea5b2c926fc0fe8587a12,ORD-000084,699ea5b2c926fc0fe8587a14,not_issued,,,,skip_not_issued,issueStatus is 'not_issued' (only currently issued cones are empty-returned),false,false,
