cone_barcode,order_no,article_number,current_issue_status,current_weight_db,actual_weight,location_to_allocate
69e8849a733c29bce005c51a,ORD-000036,A574,issued,0.408,0.05,B7-01-S0044-F01
69e8849a733c29bce005c51b,ORD-000036,A574,issued,0.4,0.05,B7-01-S0044-F01
69e8849a733c29bce005c51d,ORD-000036,A574,issued,0.318,0.002,B7-01-S0044-F01
69e8849a733c29bce005c51e,ORD-000036,A574,issued,0.24,0.05,B7-01-S0044-F01
69e8849a733c29bce005c521,ORD-000036,A574,issued,0.376,0.05,B7-01-S0044-F01
69e8849a733c29bce005c522,ORD-000036,A574,issued,0.406,0.002,B7-01-S0044-F01
69e8849a733c29bce005c523,ORD-000036,A574,issued,0.388,0.368,B7-01-S0044-F01
69e884b8733c29bce005c9c1,ORD-000036,A574,issued,1.37,0.102,B7-01-S0040-F01
69e884b8733c29bce005c9c2,ORD-000036,A574,issued,1.314,0.102,B7-01-S0040-F01
69e884b8733c29bce005c9c4,ORD-000036,A574,issued,1.294,0.102,B7-01-S0040-F01
69e884b8733c29bce005c9c6,ORD-000036,A574,issued,1.288,0.106,B7-01-S0040-F01
69e884b8733c29bce005c9ca,ORD-000036,A574,issued,1.302,0.106,B7-01-S0040-F01
69e884b8733c29bce005c9cb,ORD-000036,A574,issued,1.292,0.11,B7-01-S0040-F01
69e884d2733c29bce005cdeb,ORD-000036,A582,issued,1.294,0.102,B7-01-S0040-F01
69e884d2733c29bce005cdf0,ORD-000036,A582,issued,1.31,0.1,B7-01-S0040-F01
69e8bdb1733c29bce0096d83,ORD-000036,A574,issued,0.906,0.8240001,B7-01-S0043-F02
69e8bea9733c29bce009725e,ORD-000036,A574,issued,0.972,0.422,B7-01-S0036-F03
69e8bea9733c29bce009725f,ORD-000036,A574,issued,1.046,0.116,B7-01-S0036-F03
69e8bea9733c29bce0097261,ORD-000036,A574,issued,0.894,0.114,B7-01-S0036-F03
69e8bea9733c29bce0097265,ORD-000036,A574,issued,0.924,0.106,B7-01-S0036-F03
69e8c462733c29bce009a4af,ORD-000036,A574,issued,1.326,0.104,B7-01-S0040-F01
69e8c462733c29bce009a4b2,ORD-000036,A574,issued,1.32,0.106,B7-01-S0040-F01
69e8c462733c29bce009a4b4,ORD-000036,A574,issued,1.32,0.108,B7-01-S0040-F01
69e9adf2733c29bce00f08fd,ORD-000036,A574,issued,1.06,0.05,B7-01-S0013-F02
69e9adf2733c29bce00f08fe,ORD-000036,A574,issued,1.074,0.36,B7-01-S0013-F02
69e9adf2733c29bce00f08ff,ORD-000036,A574,issued,1.072,0.042,B7-01-S0013-F02
69e9adf2733c29bce00f0900,ORD-000036,A574,issued,1.062,0.04,B7-01-S0013-F02
69e9adf2733c29bce00f0901,ORD-000036,A574,issued,1.104,0.044,B7-01-S0013-F02
69e9adf2733c29bce00f0902,ORD-000036,A574,issued,1.064,0.002,B7-01-S0013-F02
69e9adf2733c29bce00f0903,ORD-000036,A574,issued,1.034,0.04,B7-01-S0013-F02
69e9adf2733c29bce00f0904,ORD-000036,A574,issued,1.03,0.044,B7-01-S0013-F02
69e9adf2733c29bce00f0905,ORD-000036,A574,issued,1.038,0.044,B7-01-S0013-F02
69e9adf2733c29bce00f0906,ORD-000036,A574,issued,1.098,0.04,B7-01-S0013-F02
69e9adf2733c29bce00f0908,ORD-000036,A574,issued,1.104,0.044,B7-01-S0013-F02
69e9adf2733c29bce00f0909,ORD-000036,A574,issued,1.086,0.044,B7-01-S0013-F02
69e9adf2733c29bce00f090b,ORD-000036,A574,issued,1.074,0.042,B7-01-S0013-F02
69e9adf2733c29bce00f090c,ORD-000036,A574,issued,1.118,0.046,B7-01-S0013-F02
69e9adf2733c29bce00f090d,ORD-000036,A574,issued,1.026,0.04,B7-01-S0013-F02
69e9adf2733c29bce00f090e,ORD-000036,A574,issued,1.058,0.042,B7-01-S0013-F02
69e9adf2733c29bce00f090f,ORD-000036,A574,issued,1.076,0.038,B7-01-S0013-F02
69e9adf2733c29bce00f0910,ORD-000036,A574,issued,1.088,0.04,B7-01-S0013-F02
69eb17c186f7ddd153e58490,ORD-000036,A582,issued,0.948,0.11,B7-01-S0040-F01
69eef50f86f7ddd15309aca6,,,not_issued,1.27,1.288,B7-01-S0030-F02
69f1fe4f2095293f7e58d8dc,,,not_issued,0,0.8100001,B7-01-S0036-F03
69f1fe902095293f7e58d9c1,,,not_issued,0,0.1,B7-01-S0036-F03
69f1ff142095293f7e58dbfd,,,not_issued,0,0.11,B7-01-S0036-F03
