rowIndex,barcode,boxId,status,bucket,reason,docId,poNumber,yarnName,yarnCatalogId,beforeBoxWeight,beforeGrossWeight,beforeNumberOfCones,beforeStorageLocation,beforeStoredStatus,afterBoxWeight,afterGrossWeight,afterNumberOfCones,afterStorageLocation,afterStoredStatus,stConeCount,issuedStConeCount,message
106,69c3ac1fa7819fd050b0bd88,BOX-PO-2026-419-2562102318-1774431263223-13,block_issued_cones_on_box,block_issued_cones_on_box,issued_st_cones_remain,69c3ac1fa7819fd050b0bd9c,PO-2026-419,30s-Anthra Melange-Anthra Melange-Cotton/Combed Melange,6926a7b6a5ccbd9b84f713c7,1.6580000000000084,61.62,24,B7-05-S0001-F01,true,,,,,,0,24,
107,69c3ac1fa7819fd050b0bd89,BOX-PO-2026-419-2562102318-1774431263223-14,block_issued_cones_on_box,block_issued_cones_on_box,issued_st_cones_remain,69c3ac1fa7819fd050b0bd9d,PO-2026-419,30s-Anthra Melange-Anthra Melange-Cotton/Combed Melange,6926a7b6a5ccbd9b84f713c7,15.137999999999991,62.22,24,B7-05-S0001-F01,true,,,,,,7,14,
108,69c3ac1fa7819fd050b0bd8a,BOX-PO-2026-419-2562102318-1774431263223-15,block_issued_cones_on_box,block_issued_cones_on_box,issued_st_cones_remain,69c3ac1fa7819fd050b0bd9e,PO-2026-419,30s-Anthra Melange-Anthra Melange-Cotton/Combed Melange,6926a7b6a5ccbd9b84f713c7,1.1859999999999928,61.62,24,B7-05-S0001-F01,true,,,,,,7,17,
110,69945535f0a2c8b07dc4198b,BOX-PO-2026-415-2583106212-1771328821195-44,block_issued_cones_on_box,block_issued_cones_on_box,issued_st_cones_remain,69945535f0a2c8b07dc419cb,PO-2026-415,30s-Anthra Melange-Anthra Melange-Cotton/Combed Melange,6926a7b6a5ccbd9b84f713c7,11.509000000000007,0,24,B7-05-S0001-F02,true,,,,,,2,21,
111,69945535f0a2c8b07dc4198c,BOX-PO-2026-415-2583106212-1771328821195-45,block_issued_cones_on_box,block_issued_cones_on_box,issued_st_cones_remain,69945535f0a2c8b07dc419cc,PO-2026-415,30s-Anthra Melange-Anthra Melange-Cotton/Combed Melange,6926a7b6a5ccbd9b84f713c7,44.538,0,24,B7-05-S0001-F02,true,,,,,,3,9,
112,699ec97ebbffbc1a171ffe72,BOX-PO-2026-419-2562102291-1772013950260-6,block_issued_cones_on_box,block_issued_cones_on_box,issued_st_cones_remain,699ec97ebbffbc1a171ffe7c,PO-2026-419,30s-Blue Melange-Blue Melange-Cotton/Combed Melange,6926a7b6a5ccbd9b84f713c1,0.9719999999999942,0,24,B7-05-S0001-F02,true,,,,,,0,24,
113,699ec97ebbffbc1a171ffe73,BOX-PO-2026-419-2562102291-1772013950260-7,block_issued_cones_on_box,block_issued_cones_on_box,issued_st_cones_remain,699ec97ebbffbc1a171ffe7d,PO-2026-419,30s-Blue Melange-Blue Melange-Cotton/Combed Melange,6926a7b6a5ccbd9b84f713c1,5.5219999999999985,61.86,24,B7-05-S0001-F02,true,,,,,,0,23,
114,699ec97ebbffbc1a171ffe75,BOX-PO-2026-419-2562102291-1772013950260-9,block_issued_cones_on_box,block_issued_cones_on_box,issued_st_cones_remain,699ec97ebbffbc1a171ffe7f,PO-2026-419,30s-Blue Melange-Blue Melange-Cotton/Combed Melange,6926a7b6a5ccbd9b84f713c1,20.949999999999996,0,24,B7-05-S0001-F02,true,,,,,,0,19,
115,699ec97ebbffbc1a171ffe76,BOX-PO-2026-419-2562102291-1772013950260-10,block_issued_cones_on_box,block_issued_cones_on_box,issued_st_cones_remain,699ec97ebbffbc1a171ffe80,PO-2026-419,30s-Blue Melange-Blue Melange-Cotton/Combed Melange,6926a7b6a5ccbd9b84f713c1,29.562000000000005,0,17,B7-05-S0001-F02,true,,,,,,0,7,
120,69945535f0a2c8b07dc4199b,BOX-PO-2026-415-2552307704-1771328821195-58,block_issued_cones_on_box,block_issued_cones_on_box,issued_st_cones_remain,69945535f0a2c8b07dc419d9,PO-2026-415,20s-Anthra Melange-Anthra Melange-Cotton/Combed Melange,691ef8bccb4c4b6d149a700b,60,0,24,B7-05-S0001-F03,true,,,,,,4,17,
122,69cf478e7cd22f3f9dadb6e3,BOX-PO-2026-419-2562102317-1775191950328-2,block_issued_cones_on_box,block_issued_cones_on_box,issued_st_cones_remain,69cf478e7cd22f3f9dadb6ec,PO-2026-419,20s-Anthra Melange-Anthra Melange-Cotton/Combed Melange,698c3772cafa1141568f90a0,7.778000000000013,62.04,25,B7-05-S0001-F03,true,,,,,,18,4,
124,69cf478e7cd22f3f9dadb6e6,BOX-PO-2026-419-2562102317-1775191950328-5,block_issued_cones_on_box,block_issued_cones_on_box,issued_st_cones_remain,69cf478e7cd22f3f9dadb6ef,PO-2026-419,20s-Anthra Melange-Anthra Melange-Cotton/Combed Melange,698c3772cafa1141568f90a0,1.2439999999999998,61.88,24,B7-05-S0001-F03,true,,,,,,19,5,
125,69d8ce14edc59d9ec1062e3f,BOX-PO-2026-087-2554106477-10.04-1775816212209-7,block_issued_cones_on_box,block_issued_cones_on_box,issued_st_cones_remain,69d8ce14edc59d9ec1062e4e,PO-2026-087,20s-Black-Black-Cotton/Compact,6926a7b6a5ccbd9b84f713bb,44.54,54.92,40,B7-05-S0001-F03,true,,,,,,0,5,
126,69d8ce14edc59d9ec1062e45,BOX-PO-2026-087-2554106477-10.04-1775816212209-13,block_issued_cones_on_box,block_issued_cones_on_box,issued_st_cones_remain,69d8ce14edc59d9ec1062e54,PO-2026-087,20s-Black-Black-Cotton/Compact,6926a7b6a5ccbd9b84f713bb,18.492000000000004,54.92,40,B7-05-S0001-F03,true,,,,,,2,11,
127,69e72a88f0694e7c1e231f22,BOX-PO-2026-1056-94890-1776757384224-18,block_issued_cones_on_box,block_issued_cones_on_box,issued_st_cones_remain,69e72a88f0694e7c1e231f50,PO-2026-1056,20s-Deep Grey-Eiffel Tower (Deep Grey)-Cotton/Compact,6926a7b6a5ccbd9b84f713e3,0.25600000000000733,52.84,40,B7-05-S0001-F03,true,,,,,,0,40,
128,699d9291c926fc0fe856c43d,BOX-PO-2026-197-94539-1771934353577-7,block_issued_cones_on_box,block_issued_cones_on_box,issued_st_cones_remain,699d9291c926fc0fe856c445,PO-2026-197,30s-Deep Grey-Eiffel Tower (Deep Grey)-Cotton/Compact,698ac642e46d5f2f3c25a11f,34.499,0,40,B7-05-S0001-F04,true,,,,,,8,5,
129,69c25444421268c3c1b2a7a9,BOX-PO-2026-869-94459-1774343236270-4,block_issued_cones_on_box,block_issued_cones_on_box,issued_st_cones_remain,69c25444421268c3c1b2a7b1,PO-2026-869,20s-Black-Black-Cotton/Compact,6926a7b6a5ccbd9b84f713bb,18.673000000000002,48.42,40,B7-05-S0001-F04,true,,,,,,0,4,
130,69c25444421268c3c1b2a7ad,BOX-PO-2026-869-94459-1774343236270-8,block_issued_cones_on_box,block_issued_cones_on_box,issued_st_cones_remain,69c25444421268c3c1b2a7b5,PO-2026-869,20s-Black-Black-Cotton/Compact,6926a7b6a5ccbd9b84f713bb,0.15000000000000213,32.06,28,B7-05-S0001-F04,true,,,,,,25,3,
